Fid,Protocol,Flag,Packet,Sender ID,Receiver ID,Source IP Address,Destination IP Address,Source Port,Destination Port,Packet Size,Label,Url
68.64.55.85-10.152.152.11-80-38845-6,TCP,SYN,FTP,345678,789012,10.0.0.2,192.168.1.10,21,12345,512,1,https://betasusgirmekicin.blogspot.com/
10.152.152.11-10.152.152.10-43981-53-17,UDP,ACK,DNS,789012,345678,192.168.1.10,10.0.0.2,12345,53,256,0,http://biyo5563.blogspot.com/
10.152.152.11-10.152.152.10-45659-53-17,TCP,SYN,SSH,123456,987654,10.0.0.5,192.168.0.1,12345,22,1024,1,http://stores.ebay.com/Computer-Memory-Solutions
10.152.152.11-10.152.152.10-55277-53-17,UDP,ACK,NTP,987654,123456,192.168.0.1,10.0.0.5,12345,123,512,0,http://www.zhan.com/
10.152.152.11-23.77.248.214-40049-80-6,TCP,RST,FTP,345678,789012,10.0.0.2,192.168.1.10,12345,20,2048,0,http://office365-0nedrive-portal.el.r.appspot.com/wp-content
10.152.152.11-10.152.152.10-42121-53-17,UDP,ACK,SNMP,789012,345678,192.168.1.10,10.0.0.2,161,12345,768,1,http://ec2-52-65-239-39.ap-southeast-2.compute.amazonaws.com/9f1ae8fdd0adf18/save.php
54.239.16.235-10.152.152.11-80-46819-6,TCP,FIN,HTTPS,123456,987654,10.0.0.5,192.168.0.1,443,12345,4096,0,http://tips4pc.com/networking-tips-and-tricks/how-to-setup-gigabit-ethernet.htm
10.152.152.11-10.152.152.10-57337-53-17,UDP,ACK,DHCP,987654,123456,192.168.0.1,10.0.0.5,67,12345,256,1,http://www.advance-africa.com/Health-Internship-Programme.html
10.152.152.11-93.115.82.113-48181-80-6,TCP,SYN,SMTP,789012,345678,10.0.0.2,192.168.1.10,25,12345,512,1,http://kamazcentr.nichost.ru/media/k2
10.152.152.11-188.121.36.239-37905-80-6,UDP,ACK,SNMP,345678,789012,10.0.0.2,192.168.1.10,161,12345,256,1,http://king-pes.blogspot.com
54.192.98.143-10.152.152.11-80-50883-6,TCP,SYN,FTP,567890,890123,192.168.1.5,10.0.0.10,21,12345,512,0,https://www.1stdibs.com/furniture/wall-decorations/wall-mounted-sculptures/death-mask/id-f_2844112/
10.152.152.11-10.152.152.10-40797-53-17,UDP,ACK,DNS,901234,678901,10.0.0.15,192.168.0.2,12345,53,256,1,https://twitter.com/linkedin_jobs
10.152.152.11-23.3.91.89-36030-80-6,TCP,SYN,SSH,234567,456789,192.168.0.5,10.0.0.10,22,12345,256,0,http://www.kundaliniyogauruguay.com/
10.152.152.11-10.152.152.10-45598-53-17,UDP,ACK,NTP,456789,234567,10.0.0.8,192.168.0.5,123,12345,128,1,http://www.animationcareerreview.com/articles/top-50-graphic-design-schools-and-colleges-us-%E2%80%93-2015
46.228.164.11-10.152.152.11-443-40090-6,TCP,RST,FTP,678901,901234,192.168.1.10,10.0.0.15,20,12345,2048,0,https://www.authpro.com/auth/ubabankng/?action=reg
10.152.152.11-10.152.152.10-45709-53-17,UDP,ACK,SNMP,901234,678901,10.0.0.15,192.168.1.10,161,12345,768,0,http://www.slideserve.com/yuri/csc-9010-text-mining-applications
10.152.152.11-10.152.152.10-35434-53-17,TCP,FIN,HTTPS,567890,890123,192.168.0.2,10.0.0.8,443,12345,4096,1,http://vevobahis211.blogspot.com
185.29.133.33-10.152.152.11-80-41918-6,UDP,ACK,DHCP,890123,567890,10.0.0.10,192.168.1.5,67,12345,256,0,https://nobleconsultants.net/windows/index.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;loginpage=http://abantotel.com.tr&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4
10.152.152.11-10.152.152.10-34285-53-17,TCP,SYN,SMTP,234567,456789,192.168.0.5,10.0.0.10,25,12345,512,0,https://congresolenguas.uicui.edu.mx/plugins/authentication/cookie/office2020/office
10.152.152.11-63.215.202.137-60998-443-6,UDP,ACK,SNMP,456789,234567,10.0.0.8,192.168.0.5,161,12345,256,0,https://elccircuit.com/wp-content/themes/twentynineteen/fonts/verify/ourtime/ourtime123/ourtime.php
54.210.206.38-10.152.152.11-443-45761-6,TCP,SYN,FTP,789012,345678,10.0.0.2,192.168.1.10,21,12345,512,1,http://www.justlookapp.com/blog/wp-content/themes/storefront/assets/fonts/d77722bd1cf46a12214c17ad4b362a5c
10.152.152.11-10.152.152.10-36739-53-17,UDP,ACK,DNS,345678,789012,192.168.1.10,10.0.0.2,12345,53,256,1,http://www.definitions.net/definition/text
10.152.152.11-192.230.77.107-60323-80-6,TCP,SYN,SSH,123456,987654,10.0.0.5,192.168.0.1,12345,22,1024,1,https://www.bluefountainmedia.com/digital-marketing
10.152.152.11-10.152.152.10-50702-53-17,UDP,ACK,NTP,987654,123456,192.168.0.1,10.0.0.5,12345,123,512,0,http://hostpoint.ch.gbp-events.com.prunauneau.fr/943070958193827623/
10.152.152.11-192.230.82.107-46963-80-6,TCP,RST,FTP,345678,789012,10.0.0.2,192.168.1.10,12345,20,2048,1,https://www.sellmyshares.com.au/
10.152.152.11-178.255.83.1-51550-80-6,UDP,ACK,SNMP,789012,345678,192.168.1.10,10.0.0.2,161,12345,768,1,http://www.CyberForum.ru/cpp-beginners/thread368029.html
62.67.193.61-10.152.152.11-80-36781-6,TCP,FIN,HTTPS,123456,987654,10.0.0.5,192.168.0.1,443,12345,4096,0,http://drrhau.com.au/dropbox/auth/view/share/
54.192.98.10-10.152.152.11-80-54788-6,UDP,ACK,DHCP,987654,123456,192.168.0.1,10.0.0.5,67,12345,256,0,http://mnemonicdictionary.com/word/provenance
10.152.152.11-10.152.152.10-44571-53-17,TCP,SYN,SMTP,789012,345678,10.0.0.2,192.168.1.10,25,12345,512,1,https://www.theyellowsparrow.com/rollinggreensincrevinvoice
37.157.2.16-10.152.152.11-80-41876-6,UDP,ACK,SNMP,345678,789012,10.0.0.2,192.168.1.10,161,12345,256,0,https://www.boxol.it/
10.152.152.11-74.125.232.123-54367-443-6,TCP,SYN,FTP,567890,890123,192.168.1.5,10.0.0.10,21,12345,512,1,http://collaboration.com.ua/wordpress/wp-content/plugins/xteaumr/amen/en.php
10.152.152.11-82.113.101.201-43678-443-6,UDP,ACK,DNS,901234,678901,10.0.0.15,192.168.0.2,12345,53,256,0,http://tidyup.org.uk
10.152.152.11-10.152.152.10-34834-53-17,TCP,SYN,SSH,234567,456789,192.168.0.5,10.0.0.10,22,12345,256,1,https://en.wikipedia.org/wiki/Tabloid_(newspaper_format)
10.152.152.11-10.152.152.10-48543-53-17,UDP,ACK,NTP,456789,234567,10.0.0.8,192.168.0.5,123,12345,128,0,http://mymemory.translated.net/en/English/Telugu/latency-meaning
173.241.240.220-10.152.152.11-80-47053-6,TCP,RST,FTP,678901,901234,192.168.1.10,10.0.0.15,20,12345,2048,1,http://faculty.washington.edu/sundar/NPM/CLUSTER-Segmentation/Segmentation%20and%20Classification%20Tutorial.pdf
72.5.205.47-10.152.152.11-80-50594-6,UDP,ACK,SNMP,901234,678901,10.0.0.15,192.168.1.10,161,12345,768,0,http://www.newworldencyclopedia.org/entry/Gettysburg_Address
10.152.152.11-173.194.46.58-44783-443-6,TCP,FIN,HTTPS,567890,890123,192.168.0.2,10.0.0.8,443,12345,4096,1,https://en.wikipedia.org/wiki/Multiple_Sleep_Latency_Test
10.152.152.11-50.31.164.165-42896-80-6,UDP,ACK,DHCP,890123,567890,10.0.0.10,192.168.1.5,67,12345,256,1,http://java-source.net/open-source/uml-modeling
10.152.152.11-10.152.152.10-46034-53-17,TCP,SYN,SMTP,234567,456789,192.168.0.5,10.0.0.10,25,12345,512,1,http://gg.gg/itoken-itaucard2-0
10.152.152.11-23.77.248.214-39999-80-6,UDP,ACK,SNMP,456789,234567,10.0.0.8,192.168.0.5,161,12345,256,0,http://www.pedigreedatabase.com/articles.html?s=training-a-sar-search-and-rescue-dog
10.152.152.11-173.241.240.220-47368-80-6,TCP,SYN,FTP,789012,345678,10.0.0.2,192.168.1.10,21,12345,512,1,https://www.pingdom.com/
10.152.152.11-10.152.152.10-33582-53-17,UDP,ACK,DNS,345678,789012,192.168.1.10,10.0.0.2,12345,53,256,0,http://www.online-tech-tips.com/internet-explorer-tips/how-to-clear-your-google-search-history/
10.152.152.11-10.152.152.10-52827-53-17,TCP,SYN,SSH,123456,987654,10.0.0.5,192.168.0.1,12345,22,1024,0,http://search.yahoo.com/tablet/s?p=passive+optical+networks+pros+and+cons&ei=UTF-8&fr2=rs-bottom%2Cp%3As%2Cv%3Aw%2Cm%3Aat-s
10.152.152.11-10.152.152.10-42552-53-17,UDP,ACK,NTP,987654,123456,192.168.0.1,10.0.0.5,12345,123,512,1,https://drive.google.com/file/d/1QF58H-1LUNq1PubplWDhwd3UOOj_VjxA/view
8.6.0.1-8.0.6.4-0-0-0,TCP,RST,FTP,345678,789012,10.0.0.2,192.168.1.10,12345,20,2048,1,https://www.google.com.mx/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi3vuiFm97VAhWKxVQKHbQbC_gQFggoMAA&url=http%3A%2F%2Fwww.santander.com.mx%2F&usg=AFQjCNGiB3dOhhOz3UQRsyVvgqVe5HsJyw
54.191.75.225-10.152.152.11-443-48984-6,UDP,ACK,SNMP,789012,345678,192.168.1.10,10.0.0.2,161,12345,768,0,http://www.acostamueble.com/img/
10.152.152.11-10.152.152.10-60868-53-17,TCP,FIN,HTTPS,123456,987654,10.0.0.5,192.168.0.1,443,12345,4096,1,https://www.popmech.ru/
199.38.164.156-10.152.152.11-80-58128-6,UDP,ACK,DHCP,987654,123456,192.168.0.1,10.0.0.5,67,12345,256,1,http://antena-uk.kz/components/com_media/internetbanking.suncorpbank.htm
10.152.152.11-108.167.131.94-58750-443-6,TCP,SYN,SMTP,789012,345678,10.0.0.2,192.168.1.10,25,12345,512,0,http://www.healingwell.com/community/default.aspx?f=9&m=1608853
10.152.152.11-10.152.152.10-57172-53-17,UDP,ACK,SNMP,345678,789012,10.0.0.2,192.168.1.10,161,12345,256,1,http://music.lovetoknow.com/music-genres/printable-piano-keyboard-layout
10.152.152.11-10.152.152.10-53317-53-17,TCP,SYN,FTP,567890,890123,192.168.1.5,10.0.0.10,21,12345,512,0,http://divorcesupport.about.com/od/abusiverelationships/a/Pass_Agg.htm
10.152.152.11-104.24.101.152-38547-80-6,UDP,ACK,DNS,901234,678901,10.0.0.15,192.168.0.2,12345,53,256,1,http://www.pestnet.com/rodents/house-mouse/
10.152.152.11-10.152.152.10-55750-53-17,TCP,SYN,SSH,234567,456789,192.168.0.5,10.0.0.10,22,12345,256,0,http://zerbe-medien.com/blog/control/
52.21.118.252-10.152.152.11-80-38791-6,UDP,ACK,NTP,456789,234567,10.0.0.8,192.168.0.5,123,12345,128,0,https://www.merriam-webster.com/dictionary/automation
46.228.164.11-10.152.152.11-80-47469-6,TCP,RST,FTP,678901,901234,192.168.1.10,10.0.0.15,20,12345,2048,1,http://vwbank.inforia.net/
10.152.152.11-10.152.152.10-50554-53-17,UDP,ACK,SNMP,901234,678901,10.0.0.15,192.168.1.10,161,12345,768,0,http://178.33.67.12/
10.152.152.11-205.234.175.175-34334-80-6,TCP,FIN,HTTPS,567890,890123,192.168.0.2,10.0.0.8,443,12345,4096,1,https://www.timeanddate.com/worldclock/trinidad-and-tobago/port-of-spain
10.152.152.11-54.243.29.51-43483-80-6,UDP,ACK,DHCP,890123,567890,10.0.0.10,192.168.1.5,67,12345,256,0,http://www.wascd.org/
54.192.117.75-10.152.152.11-80-41308-6,TCP,SYN,SMTP,234567,456789,192.168.0.5,10.0.0.10,25,12345,512,1,http://www.explainthatstuff.com/how-computer-memory-works.html
8.43.72.22-10.152.152.11-80-36751-6,UDP,ACK,SNMP,456789,234567,10.0.0.8,192.168.0.5,161,12345,256,0,https://www.sparkasse-nea.de/de/home.html
10.152.152.11-162.144.129.143-35800-80-6,TCP,SYN,FTP,789012,345678,10.0.0.2,192.168.1.10,21,12345,512,1,http://www.isic2018.com/
10.152.152.11-10.152.152.10-47806-53-17,UDP,ACK,DNS,345678,789012,192.168.1.10,10.0.0.2,12345,53,256,1,http://sodeco.home.pl/pub/cache/css/css/y/
74.125.232.122-10.152.152.11-80-53024-6,TCP,SYN,SSH,123456,987654,10.0.0.5,192.168.0.1,12345,22,1024,0,http://www.vh1.com/
10.152.152.11-10.152.152.10-58759-53-17,UDP,ACK,NTP,987654,123456,192.168.0.1,10.0.0.5,12345,123,512,1,https://simple.wikipedia.org/wiki/Impact_event
10.152.152.11-10.152.152.10-41298-53-17,TCP,RST,FTP,345678,789012,10.0.0.2,192.168.1.10,12345,20,2048,0,http://mobltec.com/s_push+aside+crossword+clue/
10.152.152.11-10.152.152.10-48825-53-17,UDP,ACK,SNMP,789012,345678,192.168.1.10,10.0.0.2,161,12345,768,1,https://grid.ac/
104.193.82.55-10.152.152.11-443-59482-6,TCP,FIN,HTTPS,123456,987654,10.0.0.5,192.168.0.1,443,12345,4096,1,http://projonmowave.com/wp-admin/includes/HJK/VN/WellsFargo/WellsFargo/wells
50.18.250.175-10.152.152.11-443-50134-6,UDP,ACK,DHCP,987654,123456,192.168.0.1,10.0.0.5,67,12345,256,0,https://www.autolikesfree.net/access-token.php
10.152.152.11-10.152.152.10-55366-53-17,TCP,SYN,SMTP,789012,345678,10.0.0.2,192.168.1.10,25,12345,512,0,http://www.clifford.org/drbill/osher/presentations/04_Lunar.pdf
10.152.152.11-93.93.64.225-39901-80-6,UDP,ACK,SNMP,345678,789012,10.0.0.2,192.168.1.10,161,12345,256,0,https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b0ba01d76e8d701/?cmd=_update&dispatch=b0ba01d76e8d701ca&locale=_RU
10.152.152.11-10.152.152.10-49729-53-17,TCP,SYN,FTP,567890,890123,192.168.1.5,10.0.0.10,21,12345,512,1,https://sites.google.com/view/supayu/inicio
10.152.152.11-10.152.152.10-43552-53-17,UDP,ACK,DNS,901234,678901,10.0.0.15,192.168.0.2,12345,53,256,1,http://4able.com.br/wp-admin/user/onedrive/login.php?cmd=login_submit&amp;id=8a3a5679a5416be9be5f912d352690118a3a5679a5416be9be5f912d35269011&amp;session=8a3a5679a5416be9be5f912d352690118a3a5679a5416be9be5f912d35269011
10.152.152.11-10.152.152.10-58989-53-17,TCP,SYN,SSH,234567,456789,192.168.0.5,10.0.0.10,22,12345,256,0,http://www.justlookapp.com/blog/wp-content/themes/storefront/assets/fonts/f21374532bf11c17318cd2d7c7f38290/
10.152.152.11-152.163.66.131-36513-80-6,UDP,ACK,NTP,456789,234567,10.0.0.8,192.168.0.5,123,12345,128,0,http://zgzgay.blogspot.com/
10.152.152.11-46.4.104.106-58753-80-6,TCP,RST,FTP,678901,901234,192.168.1.10,10.0.0.15,20,12345,2048,1,http://songkhla.go.th
10.152.152.11-10.152.152.10-59725-53-17,UDP,ACK,SNMP,901234,678901,10.0.0.15,192.168.1.10,161,12345,768,0,https://community.spiceworks.com/topic/228944-firewall-throughput-vs-internet-bandwidth
173.194.116.186-10.152.152.11-80-39818-6,TCP,FIN,HTTPS,567890,890123,192.168.0.2,10.0.0.8,443,12345,4096,1,https://alexandraverney.co.uk/view/inc
10.152.152.11-10.152.152.10-43506-53-17,UDP,ACK,DHCP,890123,567890,10.0.0.10,192.168.1.5,67,12345,256,0,http://gpssicredi.hospedagemdesites.ws
10.152.152.11-23.77.248.214-39906-80-6,TCP,SYN,SMTP,234567,456789,192.168.0.5,10.0.0.10,25,12345,512,0,http://sierragaragedoors.pro/wp-content/themes/123_parent/newnatred/1/index2.php?bidderblocklogin&hc=1&hm=uk%601d72f%20j2b2vi<265bidderblocklogin&hc=1&hm=uk%601d72f%20j2b2vi<265bidderblocklogin&hc=1&hm=uk%601d72f%20j2b2vi<265
10.152.152.11-10.152.152.10-57320-53-17,UDP,ACK,SNMP,456789,234567,10.0.0.8,192.168.0.5,161,12345,256,1,https://www.doctoranytime.gr/
10.152.152.11-85.13.130.202-58874-443-6,TCP,SYN,FTP,789012,345678,10.0.0.2,192.168.1.10,21,12345,512,1,http://www.allaboutscience.org/dna-replication.htm
10.152.152.11-10.152.152.10-37373-53-17,UDP,ACK,DNS,345678,789012,192.168.1.10,10.0.0.2,12345,53,256,1,https://www.psda.org/?
10.152.152.11-10.152.152.10-60946-53-17,TCP,SYN,SSH,123456,987654,10.0.0.5,192.168.0.1,12345,22,1024,0,http://www.waterloooptical.com/images/goog/googledoc/PY/8bdc0f6c74d6fabd3efa129a29607ab0/
10.152.152.11-192.230.82.107-46934-80-6,UDP,ACK,NTP,987654,123456,192.168.0.1,10.0.0.5,12345,123,512,0,"https://services.runescape.com-en.ru/m=forum/forums.ws955,544,944,51478845,1136"
10.152.152.11-46.228.164.13-45578-80-6,TCP,RST,FTP,345678,789012,10.0.0.2,192.168.1.10,12345,20,2048,0,http://www.mathopenref.com/congruentlines.html
173.241.240.220-10.152.152.11-80-47747-6,UDP,ACK,SNMP,789012,345678,192.168.1.10,10.0.0.2,161,12345,768,1,http://everything.explained.today/%5C/cladism/
10.152.152.11-10.152.152.10-48316-53-17,TCP,FIN,HTTPS,123456,987654,10.0.0.5,192.168.0.1,443,12345,4096,0,https://mlpforums.com/topic/119923-discovery-family-in-hd/
10.152.152.11-10.152.152.10-38609-53-17,UDP,ACK,DHCP,987654,123456,192.168.0.1,10.0.0.5,67,12345,256,1,http://www.hemailing.com/test/827392642/b45de/dir/car.php?cmd=_account-details&amp;session=e7e7829cc8b7189eef34ab1d55e53ca4&amp;dispatch=7973eb0e861ed53b92a93f90385cf1a55a49fac8
23.43.130.116-10.152.152.11-80-43630-6,TCP,SYN,SMTP,789012,345678,10.0.0.2,192.168.1.10,25,12345,512,0,https://www.holikaholika.ee/en/
10.152.152.11-162.144.129.143-35922-80-6,UDP,ACK,SNMP,345678,789012,10.0.0.2,192.168.1.10,161,12345,256,0,https://emsi-lobo.firebaseapp.com/
10.152.152.11-10.152.152.10-44764-53-17,TCP,SYN,FTP,567890,890123,192.168.1.5,10.0.0.10,21,12345,512,1,https://www.rainbowcoast.com.au/
10.152.152.11-162.144.129.143-35837-80-6,UDP,ACK,DNS,901234,678901,10.0.0.15,192.168.0.2,12345,53,256,0,http://pay-pai-securty-verifyi-accunt-cmd.agr.ng/users/Login.ID-39566/
72.21.202.25-10.152.152.11-80-60482-6,TCP,SYN,SSH,234567,456789,192.168.0.5,10.0.0.10,22,12345,256,1,http://login-office365-microsoft.el.r.appspot.com/wp-content
10.152.152.11-10.152.152.10-43426-53-17,UDP,ACK,NTP,456789,234567,10.0.0.8,192.168.0.5,123,12345,128,0,http://www.formbuddy.com/cgi-bin/formdisp.pl?u=security=M&amp;f=verification
10.152.152.11-10.152.152.10-46492-53-17,TCP,RST,FTP,678901,901234,192.168.1.10,10.0.0.15,20,12345,2048,1,http://www.pianolessons4children.com/lessons/
10.152.152.11-10.152.152.10-37432-53-17,UDP,ACK,SNMP,901234,678901,10.0.0.15,192.168.1.10,161,12345,768,0,https://dag-mot-lan.firebaseapp.com/
10.152.152.11-10.152.152.10-50495-53-17,TCP,FIN,HTTPS,567890,890123,192.168.0.2,10.0.0.8,443,12345,4096,0,http://la-biquetterie.com/cs/
10.152.152.11-185.31.128.208-38375-80-6,UDP,ACK,DHCP,890123,567890,10.0.0.10,192.168.1.5,67,12345,256,1,https://in.utc.city
10.152.152.11-93.115.82.113-48186-80-6,TCP,SYN,SMTP,234567,456789,192.168.0.5,10.0.0.10,25,12345,512,0,https://firebasestorage.googleapis.com/v0/b/authicationapi.appspot.com/o/index.html?alt=media&id=USER@DOMAIN.ch&token=ec98d024-cd36-4129-a6fa-c5ef42fe5834
10.152.152.11-192.230.68.216-56889-80-6,UDP,ACK,SNMP,456789,234567,10.0.0.8,192.168.0.5,161,12345,256,1,https://amywestbrook.wordpress.com/
10.152.152.11-185.31.128.208-35991-80-6,TCP,SYN,FTP,789012,345678,10.0.0.2,192.168.1.10,21,12345,512,0,http://app11.easysendyapp.com/orangeclients/
173.194.116.165-10.152.152.11-80-59909-6,UDP,ACK,DNS,345678,789012,192.168.1.10,10.0.0.2,12345,53,256,1,http://owavoice.lindrupmartinsen-no.com/
74.125.136.155-10.152.152.11-80-57225-6,TCP,SYN,SSH,123456,987654,10.0.0.5,192.168.0.1,12345,22,1024,0,http://rockysite.net/i_login/ios.php
10.152.152.11-10.152.152.10-51153-53-17,UDP,ACK,NTP,987654,123456,192.168.0.1,10.0.0.5,12345,123,512,1,http://www.businessghana.com/site/autos
10.152.152.11-173.241.250.219-38474-80-6,TCP,RST,FTP,345678,789012,10.0.0.2,192.168.1.10,12345,20,2048,0,http://www.thelulusband.com/wp-admin/css/colors/coffee/dropbox/index.php?email=abuse@perkinelmer.com
10.152.152.11-10.152.152.10-42533-53-17,UDP,ACK,SNMP,789012,345678,192.168.1.10,10.0.0.2,161,12345,768,0,http://twsport.com.tw
10.152.152.11-10.152.152.10-55922-53-17,TCP,FIN,HTTPS,123456,987654,10.0.0.5,192.168.0.1,443,12345,4096,0,http://www.thefreedictionary.com/iconoclast
54.239.168.134-10.152.152.11-80-41325-6,UDP,ACK,DHCP,987654,123456,192.168.0.1,10.0.0.5,67,12345,256,0,https://www.apreltech.com/Free/Wake_on_lan_Packet_Sniffer
10.152.152.11-173.194.46.122-48106-443-6,TCP,SYN,SMTP,789012,345678,10.0.0.2,192.168.1.10,25,12345,512,0,http://whatismyipaddress.com/tor
10.152.152.11-10.152.152.10-43053-53-17,UDP,ACK,SNMP,345678,789012,10.0.0.2,192.168.1.10,161,12345,256,0,https://cs.stackexchange.com/questions/65925/proving-that-the-shortest-path-problem-between-two-vertices-s-and-t-in-a-gra
176.74.182.158-10.152.152.11-443-52652-6,TCP,SYN,FTP,567890,890123,192.168.1.5,10.0.0.10,21,12345,512,0,http://www.nakehub.com/
10.152.152.11-10.152.152.10-56758-53-17,UDP,ACK,DNS,901234,678901,10.0.0.15,192.168.0.2,12345,53,256,0,http://www.bu.edu/common/technology/software/
10.152.152.11-10.152.152.10-37156-53-17,TCP,SYN,SSH,234567,456789,192.168.0.5,10.0.0.10,22,12345,256,1,http://www.gov.hmrc.secure-tax-rebate.uk/
95.101.39.75-10.152.152.11-80-57023-6,UDP,ACK,NTP,456789,234567,10.0.0.8,192.168.0.5,123,12345,128,0,http://www.battingcagesofmn.com/batting-cages/
10.152.152.11-185.31.128.219-53222-80-6,TCP,RST,FTP,678901,901234,192.168.1.10,10.0.0.15,20,12345,2048,1,https://www.s2electrical.com/wp-content/uploads/ex/index.php?urlemm
10.152.152.11-10.152.152.10-35862-53-17,TCP,SYN,HTTP,123456,987654,192.168.0.1,10.0.0.5,12345,80,1024,1,https://www.balonnebeacon.com.au/
10.152.152.11-216.58.209.131-47066-443-6,UDP,ACK,DNS,987654,123456,10.0.0.2,192.168.0.1,53,12345,512,1,http://unitus.mk.ua/sites/default/files/ctools/ams/cms/index/www/customer_center/customer-IDPP00C156/login.php
10.152.152.11-10.152.152.10-34267-53-17,TCP,SYN,SSH,789012,345678,192.168.1.10,10.0.0.8,22,12345,256,0,http://visa.com-vmore-5309718911.imagelinetech.com/
10.152.152.11-10.152.152.10-43630-53-17,UDP,ACK,NTP,345678,789012,10.0.0.5,192.168.1.10,123,12345,128,0,http://www.how-to-pray-the-rosary-everyday.com/
10.152.152.11-10.152.152.10-60636-53-17,TCP,RST,FTP,234567,456789,192.168.0.5,10.0.0.10,20,12345,2048,1,http://hyperurl.co/ryfrhf
2.20.188.236-10.152.152.11-80-36981-6,UDP,ACK,SNMP,456789,234567,10.0.0.8,192.168.0.5,161,12345,768,0,https://www.dto.jp/
10.152.152.11-10.152.152.10-47852-53-17,TCP,FIN,HTTPS,890123,567890,192.168.1.5,10.0.0.2,443,12345,4096,1,http://www.optus.com.au/shop/broadband/mobile-broadband
10.152.152.11-10.152.152.10-56817-53-17,UDP,ACK,DHCP,567890,890123,10.0.0.10,192.168.1.5,67,12345,256,0,http://kinstationery.com/4tr/?email=nobody@mycraftmail.com
10.152.152.11-10.152.152.10-52976-53-17,TCP,SYN,SMTP,901234,678901,192.168.0.2,10.0.0.15,25,12345,512,0,https://www.kkumag.hr/wp-includes/js/jquery/ui/x4x/v4/395ac74f6fd24a1/cc.php?cmd=_update&dispatch=
10.152.152.11-10.152.152.10-57796-53-17,UDP,ACK,SNMP,678901,901234,10.0.0.15,192.168.0.2,161,12345,256,0,http://www.shmoop.com/time-machine-hg-wells/passivity-quotes.html
10.152.152.11-162.212.130.108-45747-80-6,TCP,SYN,FTP,345678,789012,10.0.0.2,192.168.1.10,21,12345,512,1,https://www.gamedev.tv/
54.239.168.246-10.152.152.11-80-58781-6,UDP,ACK,DNS,789012,345678,192.168.1.10,10.0.0.2,12345,53,256,1,http://www.dictionarist.com/image+scanner
10.152.152.11-10.152.152.10-59867-53-17,TCP,SYN,SSH,123456,987654,10.0.0.5,192.168.0.1,12345,22,1024,0,http://atualizarcartao.kinghost.net/promocao.php
10.152.152.11-10.152.152.10-59462-53-17,UDP,ACK,NTP,987654,123456,192.168.0.1,10.0.0.5,12345,123,512,1,http://www.solver.com/xlminer-platform
199.38.164.156-10.152.152.11-80-58101-6,TCP,RST,FTP,345678,789012,10.0.0.2,192.168.1.10,12345,20,2048,0,http://corfuvoice.gr
104.109.71.28-10.152.152.11-80-44817-6,UDP,ACK,SNMP,789012,345678,192.168.1.10,10.0.0.2,161,12345,768,1,http://kuchkuchnights.com/2222/?sec=Franziska%20Oppermann
